source_group,run_group,nata_cat,nei_cat,scc
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2801700006
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2801700007
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2801700010
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2801700011
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2801700012
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2801700013
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2801700014
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2801700015
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2801700099
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805001100
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805001200
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805001300
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805002000
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805003100
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805007100
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805007300
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805008100
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805008200
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805008300
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805009100
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805009200
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805009300
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805010100
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805010200
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805010300
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805018000
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805019100
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805019200
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805019300
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805020002
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805021100
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805021200
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805021300
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805022100
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805022200
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805022300
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805023100
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805023200
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805023300
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805025000
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805030000
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805030007
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805030008
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805035000
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805039100
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805039200
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805039300
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805040000
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805045000
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805047100
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805047300
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2805053100
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2806010000
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2806015000
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2807020001
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2807020002
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2807025000
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2807030000
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2810003000
NP-WasteDisposal,NPHI,Nonpoint,Nonpoint,2810005000
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2810010000
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2810025000
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2810030000
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2810040000
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2810050000
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2810060100
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2810060200
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2830000000
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2840000000
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2840010000
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2850000010
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2850001000
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2851001000
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2861000000
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2861000010
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2862000000
NP-SolventsCoatings,NPLO,Nonpoint,Nonpoint,2401002000
NP-SolventsCoatings,NPLO,Nonpoint,Nonpoint,2401003000
NP-SolventsCoatings,NPLO,Nonpoint,Nonpoint,2401005500
NP-SolventsCoatings,NPLO,Nonpoint,Nonpoint,2401005600
NP-SolventsCoatings,NPLO,Nonpoint,Nonpoint,2415100000
NP-SolventsCoatings,NPLO,Nonpoint,Nonpoint,2461850051
NP-SolventsCoatings,NPLO,Nonpoint,Nonpoint,2461850055
NP-SolventsCoatings,NPLO,Nonpoint,Nonpoint,2461850099
NP-MiscellaneousNonindustrial,NPLO,Nonpoint,Nonpoint,2810035000
NP-SolventsCoatings,NPLO,Nonpoint,Nonpoint,2415130000
NP-SolventsCoatings,NPLO,Nonpoint,Nonpoint,2415300000
NP-SolventsCoatings,NPLO,Nonpoint,Nonpoint,2415360000
NP-SolventsCoatings,NPLO,Nonpoint,Nonpoint,2420010370
NP-SolventsCoatings,NPLO,Nonpoint,Nonpoint,2425010000
NP-SolventsCoatings,NPLO,Nonpoint,Nonpoint,2425020000
NP-SolventsCoatings,NPLO,Nonpoint,Nonpoint,2425040000
NP-SolventsCoatings,NPLO,Nonpoint,Nonpoint,2461850001
NP-SolventsCoatings,NPLO,Nonpoint,Nonpoint,2461850005
NP-SolventsCoatings,NPLO,Nonpoint,Nonpoint,2461850006
NP-SolventsCoatings,NPLO,Nonpoint,Nonpoint,2461850009
NP-SolventsCoatings,NPLO,Nonpoint,Nonpoint,2461850056
NP-SolventsCoatings,NPLO,Nonpoint,Nonpoint,2425030000
