sourceTypeID,roadTypeID,hourDayID,avgSpeedBinID,avgSpeedFraction
11,2,12,1,0
11,2,12,2,0
11,2,12,3,0
11,2,12,4,0
11,2,12,5,0
11,2,12,6,0
11,2,12,7,0
11,2,12,8,0
11,2,12,9,0
11,2,12,10,0
11,2,12,11,0
11,2,12,12,0.0091073
11,2,12,13,0.0285067
11,2,12,14,0.0988925
11,2,12,15,0.248298
11,2,12,16,0.615196
11,2,15,1,0
11,2,15,2,0
11,2,15,3,0
11,2,15,4,0
11,2,15,5,0
11,2,15,6,0
11,2,15,7,0
11,2,15,8,0
11,2,15,9,0
11,2,15,10,0
11,2,15,11,0
11,2,15,12,0.0091073
11,2,15,13,0.0285067
11,2,15,14,0.0988925
11,2,15,15,0.248298
11,2,15,16,0.615196
11,2,22,1,0
11,2,22,2,0
11,2,22,3,0
11,2,22,4,0
11,2,22,5,0
11,2,22,6,0
11,2,22,7,0
11,2,22,8,0
11,2,22,9,0
11,2,22,10,0
11,2,22,11,0
11,2,22,12,0.0091073
11,2,22,13,0.0285067
11,2,22,14,0.0988925
11,2,22,15,0.248298
11,2,22,16,0.615196
11,2,25,1,0
11,2,25,2,0
11,2,25,3,0
11,2,25,4,0
11,2,25,5,0
11,2,25,6,0
11,2,25,7,0
11,2,25,8,0
11,2,25,9,0
11,2,25,10,0
11,2,25,11,0
11,2,25,12,0.0091073
11,2,25,13,0.0285067
11,2,25,14,0.0988925
11,2,25,15,0.248298
11,2,25,16,0.615196
11,2,32,1,0
11,2,32,2,0
11,2,32,3,0
11,2,32,4,0
11,2,32,5,0
11,2,32,6,0
11,2,32,7,0
11,2,32,8,0
11,2,32,9,0
11,2,32,10,0
11,2,32,11,0
11,2,32,12,0.0091073
11,2,32,13,0.0285067
11,2,32,14,0.0988925
11,2,32,15,0.248298
11,2,32,16,0.615196
11,2,35,1,0
11,2,35,2,0
11,2,35,3,0
11,2,35,4,0
11,2,35,5,0
11,2,35,6,0
11,2,35,7,0
11,2,35,8,0
11,2,35,9,0
11,2,35,10,0
11,2,35,11,0
11,2,35,12,0.0091073
11,2,35,13,0.0285067
11,2,35,14,0.0988925
11,2,35,15,0.248298
11,2,35,16,0.615196
11,2,42,1,0
11,2,42,2,0
11,2,42,3,0
11,2,42,4,0
11,2,42,5,0
11,2,42,6,0
11,2,42,7,0
11,2,42,8,0
11,2,42,9,0
11,2,42,10,0
11,2,42,11,0
11,2,42,12,0.0091073
11,2,42,13,0.0285067
11,2,42,14,0.0988925
11,2,42,15,0.248298
11,2,42,16,0.615196
11,2,45,1,0
11,2,45,2,0
11,2,45,3,0
11,2,45,4,0
11,2,45,5,0
11,2,45,6,0
11,2,45,7,0
11,2,45,8,0
11,2,45,9,0
11,2,45,10,0
11,2,45,11,0
11,2,45,12,0.0091073
11,2,45,13,0.0285067
11,2,45,14,0.0988925
11,2,45,15,0.248298
11,2,45,16,0.615196
11,2,52,1,0
11,2,52,2,0
11,2,52,3,0
11,2,52,4,0
11,2,52,5,0
11,2,52,6,0
11,2,52,7,0
11,2,52,8,0
11,2,52,9,0
11,2,52,10,0
11,2,52,11,0
11,2,52,12,0.0091073
11,2,52,13,0.0285067
11,2,52,14,0.0988925
11,2,52,15,0.248298
11,2,52,16,0.615196
11,2,55,1,0
11,2,55,2,0
11,2,55,3,0
11,2,55,4,0
11,2,55,5,0
11,2,55,6,0
11,2,55,7,0
11,2,55,8,0
11,2,55,9,0
11,2,55,10,0
11,2,55,11,0
11,2,55,12,0.0091073
11,2,55,13,0.0285067
11,2,55,14,0.0988925
11,2,55,15,0.248298
11,2,55,16,0.615196
11,2,62,1,0
11,2,62,2,0
11,2,62,3,0
11,2,62,4,0
11,2,62,5,0
11,2,62,6,0
11,2,62,7,0
11,2,62,8,0
11,2,62,9,0
11,2,62,10,0
11,2,62,11,0
11,2,62,12,0.0091073
11,2,62,13,0.0285067
11,2,62,14,0.0988925
11,2,62,15,0.248298
11,2,62,16,0.615196
11,2,65,1,0
11,2,65,2,0
11,2,65,3,0
11,2,65,4,0
11,2,65,5,0
11,2,65,6,0
11,2,65,7,0
11,2,65,8,0
11,2,65,9,0
11,2,65,10,0
11,2,65,11,0
11,2,65,12,0.0091073
11,2,65,13,0.0285067
11,2,65,14,0.0988925
11,2,65,15,0.248298
11,2,65,16,0.615196
11,2,72,1,0
11,2,72,2,0
11,2,72,3,0
11,2,72,4,0
11,2,72,5,0
11,2,72,6,0
11,2,72,7,0
11,2,72,8,0
11,2,72,9,0
11,2,72,10,0
11,2,72,11,0
11,2,72,12,0.0091073
11,2,72,13,0.0285067
11,2,72,14,0.0988925
11,2,72,15,0.248298
11,2,72,16,0.615196
11,2,75,1,0
11,2,75,2,0
11,2,75,3,0
11,2,75,4,0
11,2,75,5,0
11,2,75,6,0
11,2,75,7,0
11,2,75,8,0
11,2,75,9,0
11,2,75,10,0
11,2,75,11,0
11,2,75,12,0.0091073
11,2,75,13,0.0285067
11,2,75,14,0.0988925
11,2,75,15,0.248298
11,2,75,16,0.615196
11,2,82,1,0
11,2,82,2,0
11,2,82,3,0
11,2,82,4,0
11,2,82,5,0
11,2,82,6,0
11,2,82,7,0
11,2,82,8,0
11,2,82,9,0
11,2,82,10,0
11,2,82,11,0
11,2,82,12,0.0091073
11,2,82,13,0.0285067
11,2,82,14,0.0988925
11,2,82,15,0.248298
11,2,82,16,0.615196
11,2,85,1,0
11,2,85,2,0
11,2,85,3,0
11,2,85,4,0
11,2,85,5,0
11,2,85,6,0
11,2,85,7,0
11,2,85,8,0
11,2,85,9,0
11,2,85,10,0
11,2,85,11,0
11,2,85,12,0.0091073
11,2,85,13,0.0285067
11,2,85,14,0.0988925
11,2,85,15,0.248298
11,2,85,16,0.615196
11,2,92,1,0
11,2,92,2,0
11,2,92,3,0
11,2,92,4,0
11,2,92,5,0
11,2,92,6,0
11,2,92,7,0
11,2,92,8,0
11,2,92,9,0
11,2,92,10,0
11,2,92,11,0
11,2,92,12,0.0091073
11,2,92,13,0.0285067
11,2,92,14,0.0988925
11,2,92,15,0.248298
11,2,92,16,0.615196
11,2,95,1,0
11,2,95,2,0
11,2,95,3,0
11,2,95,4,0
11,2,95,5,0
11,2,95,6,0
11,2,95,7,0
11,2,95,8,0
11,2,95,9,0
11,2,95,10,0
11,2,95,11,0
11,2,95,12,0.0091073
11,2,95,13,0.0285067
11,2,95,14,0.0988925
11,2,95,15,0.248298
11,2,95,16,0.615196
11,2,102,1,0
11,2,102,2,0
11,2,102,3,0
11,2,102,4,0
11,2,102,5,0
11,2,102,6,0
11,2,102,7,0
11,2,102,8,0
11,2,102,9,0
11,2,102,10,0
11,2,102,11,0
11,2,102,12,0.0091073
11,2,102,13,0.0285067
11,2,102,14,0.0988925
11,2,102,15,0.248298
11,2,102,16,0.615196
11,2,105,1,0
11,2,105,2,0
11,2,105,3,0
11,2,105,4,0
11,2,105,5,0
11,2,105,6,0
11,2,105,7,0
11,2,105,8,0
11,2,105,9,0
11,2,105,10,0
11,2,105,11,0
11,2,105,12,0.0091073
11,2,105,13,0.0285067
11,2,105,14,0.0988925
11,2,105,15,0.248298
11,2,105,16,0.615196
11,2,112,1,0
11,2,112,2,0
11,2,112,3,0
11,2,112,4,0
11,2,112,5,0
11,2,112,6,0
11,2,112,7,0
11,2,112,8,0
11,2,112,9,0
11,2,112,10,0
11,2,112,11,0
11,2,112,12,0.0091073
11,2,112,13,0.0285067
11,2,112,14,0.0988925
11,2,112,15,0.248298
11,2,112,16,0.615196
11,2,115,1,0
11,2,115,2,0
11,2,115,3,0
11,2,115,4,0
11,2,115,5,0
11,2,115,6,0
11,2,115,7,0
11,2,115,8,0
11,2,115,9,0
11,2,115,10,0
11,2,115,11,0
11,2,115,12,0.0091073
11,2,115,13,0.0285067
11,2,115,14,0.0988925
11,2,115,15,0.248298
11,2,115,16,0.615196
11,2,122,1,0
11,2,122,2,0
11,2,122,3,0
11,2,122,4,0
11,2,122,5,0
11,2,122,6,0
11,2,122,7,0
11,2,122,8,0
11,2,122,9,0
11,2,122,10,0
11,2,122,11,0
11,2,122,12,0.0091073
11,2,122,13,0.0285067
11,2,122,14,0.0988925
11,2,122,15,0.248298
11,2,122,16,0.615196
11,2,125,1,0
11,2,125,2,0
11,2,125,3,0
11,2,125,4,0
11,2,125,5,0
11,2,125,6,0
11,2,125,7,0
11,2,125,8,0
11,2,125,9,0
11,2,125,10,0
11,2,125,11,0
11,2,125,12,0.0091073
11,2,125,13,0.0285067
11,2,125,14,0.0988925
11,2,125,15,0.248298
11,2,125,16,0.615196
11,2,132,1,0
11,2,132,2,0
11,2,132,3,0
11,2,132,4,0
11,2,132,5,0
11,2,132,6,0
11,2,132,7,0
11,2,132,8,0
11,2,132,9,0
11,2,132,10,0
11,2,132,11,0
11,2,132,12,0.0091073
11,2,132,13,0.0285067
11,2,132,14,0.0988925
11,2,132,15,0.248298
11,2,132,16,0.615196
11,2,135,1,0
11,2,135,2,0
11,2,135,3,0
11,2,135,4,0
11,2,135,5,0
11,2,135,6,0
11,2,135,7,0
11,2,135,8,0
11,2,135,9,0
11,2,135,10,0
11,2,135,11,0
11,2,135,12,0.0091073
11,2,135,13,0.0285067
11,2,135,14,0.0988925
11,2,135,15,0.248298
11,2,135,16,0.615196
11,2,142,1,0
11,2,142,2,0
11,2,142,3,0
11,2,142,4,0
11,2,142,5,0
11,2,142,6,0
11,2,142,7,0
11,2,142,8,0
11,2,142,9,0
11,2,142,10,0
11,2,142,11,0
11,2,142,12,0.0091073
11,2,142,13,0.0285067
11,2,142,14,0.0988925
11,2,142,15,0.248298
11,2,142,16,0.615196
11,2,145,1,0
11,2,145,2,0
11,2,145,3,0
11,2,145,4,0
11,2,145,5,0
11,2,145,6,0
11,2,145,7,0
11,2,145,8,0
11,2,145,9,0
11,2,145,10,0
11,2,145,11,0
11,2,145,12,0.0091073
11,2,145,13,0.0285067
11,2,145,14,0.0988925
11,2,145,15,0.248298
11,2,145,16,0.615196
11,2,152,1,0
11,2,152,2,0
11,2,152,3,0
11,2,152,4,0
11,2,152,5,0
11,2,152,6,0
11,2,152,7,0
11,2,152,8,0
11,2,152,9,0
11,2,152,10,0
11,2,152,11,0
11,2,152,12,0.0091073
11,2,152,13,0.0285067
11,2,152,14,0.0988925
11,2,152,15,0.248298
11,2,152,16,0.615196
11,2,155,1,0
11,2,155,2,0
11,2,155,3,0
11,2,155,4,0
11,2,155,5,0
11,2,155,6,0
11,2,155,7,0
11,2,155,8,0
11,2,155,9,0
11,2,155,10,0
11,2,155,11,0
11,2,155,12,0.0091073
11,2,155,13,0.0285067
11,2,155,14,0.0988925
11,2,155,15,0.248298
11,2,155,16,0.615196
11,2,162,1,0
11,2,162,2,0
11,2,162,3,0
11,2,162,4,0
11,2,162,5,0
11,2,162,6,0
11,2,162,7,0
11,2,162,8,0
11,2,162,9,0
11,2,162,10,0
11,2,162,11,0
11,2,162,12,0.0091073
11,2,162,13,0.0285067
11,2,162,14,0.0988925
11,2,162,15,0.248298
11,2,162,16,0.615196
11,2,165,1,0
11,2,165,2,0
11,2,165,3,0
11,2,165,4,0
11,2,165,5,0
11,2,165,6,0
11,2,165,7,0
11,2,165,8,0
11,2,165,9,0
11,2,165,10,0
11,2,165,11,0
11,2,165,12,0.0091073
11,2,165,13,0.0285067
11,2,165,14,0.0988925
11,2,165,15,0.248298
11,2,165,16,0.615196
11,2,172,1,0
11,2,172,2,0
11,2,172,3,0
11,2,172,4,0
11,2,172,5,0
11,2,172,6,0
11,2,172,7,0
11,2,172,8,0
11,2,172,9,0
11,2,172,10,0
11,2,172,11,0
11,2,172,12,0.0091073
11,2,172,13,0.0285067
11,2,172,14,0.0988925
11,2,172,15,0.248298
11,2,172,16,0.615196
11,2,175,1,0
11,2,175,2,0
11,2,175,3,0
11,2,175,4,0
11,2,175,5,0
11,2,175,6,0
11,2,175,7,0
11,2,175,8,0
11,2,175,9,0
11,2,175,10,0
11,2,175,11,0
11,2,175,12,0.0091073
11,2,175,13,0.0285067
11,2,175,14,0.0988925
11,2,175,15,0.248298
11,2,175,16,0.615196
11,2,182,1,0
11,2,182,2,0
11,2,182,3,0
11,2,182,4,0
11,2,182,5,0
11,2,182,6,0
11,2,182,7,0
11,2,182,8,0
11,2,182,9,0
11,2,182,10,0
11,2,182,11,0
11,2,182,12,0.0091073
11,2,182,13,0.0285067
11,2,182,14,0.0988925
11,2,182,15,0.248298
11,2,182,16,0.615196
11,2,185,1,0
11,2,185,2,0
11,2,185,3,0
11,2,185,4,0
11,2,185,5,0
11,2,185,6,0
11,2,185,7,0
11,2,185,8,0
11,2,185,9,0
11,2,185,10,0
11,2,185,11,0
11,2,185,12,0.0091073
11,2,185,13,0.0285067
11,2,185,14,0.0988925
11,2,185,15,0.248298
11,2,185,16,0.615196
11,2,192,1,0
11,2,192,2,0
11,2,192,3,0
11,2,192,4,0
11,2,192,5,0
11,2,192,6,0
11,2,192,7,0
11,2,192,8,0
11,2,192,9,0
11,2,192,10,0
11,2,192,11,0
11,2,192,12,0.0091073
11,2,192,13,0.0285067
11,2,192,14,0.0988925
11,2,192,15,0.248298
11,2,192,16,0.615196
11,2,195,1,0
11,2,195,2,0
11,2,195,3,0
11,2,195,4,0
11,2,195,5,0
11,2,195,6,0
11,2,195,7,0
11,2,195,8,0
11,2,195,9,0
11,2,195,10,0
11,2,195,11,0
11,2,195,12,0.0091073
11,2,195,13,0.0285067
11,2,195,14,0.0988925
11,2,195,15,0.248298
11,2,195,16,0.615196
11,2,202,1,0
11,2,202,2,0
11,2,202,3,0
11,2,202,4,0
11,2,202,5,0
11,2,202,6,0
11,2,202,7,0
11,2,202,8,0
11,2,202,9,0
11,2,202,10,0
11,2,202,11,0
11,2,202,12,0.0091073
11,2,202,13,0.0285067
11,2,202,14,0.0988925
11,2,202,15,0.248298
11,2,202,16,0.615196
11,2,205,1,0
11,2,205,2,0
11,2,205,3,0
11,2,205,4,0
11,2,205,5,0
11,2,205,6,0
11,2,205,7,0
11,2,205,8,0
11,2,205,9,0
11,2,205,10,0
11,2,205,11,0
11,2,205,12,0.0091073
11,2,205,13,0.0285067
11,2,205,14,0.0988925
11,2,205,15,0.248298
11,2,205,16,0.615196
11,2,212,1,0
11,2,212,2,0
11,2,212,3,0
